"id","name","attribute_id/id"
"100Min","100 Min","Min"
"200Min","200 Min","Min"
"300Min","300 Min","Min"
"SenseDades","Sense Dades","Data"
"100MB","100 MB","Data"
"1GB","1 GB","Data"
"2GB","2 GB","Data"
"3GB","3 GB","Data"
"5GB","5 GB","Data"
"10GB","10 GB","Data"
"20GB","20 GB","Data"
"200MB","200 MB","Data"
"500MB","500 MB","Data"
"500SMS","500","SMS"
"1000SMS","1000","SMS"
"2000SMS","2000","SMS"
"3000SMS","3000","SMS"
"5000SMS","5000","SMS"
"10000SMS","10000","SMS"
"100MinFixIMobile","100 min a fix i mòbil","MinBA"
"1000MinFix","1000 min a fix","MinBA"
"SenseFix","Sense telèfon fix","MinBA"
"100Mb","100 Mb","Bandwidth"
"600Mb","600 Mb","Bandwidth"
"1Gb","1 Gb","Bandwidth"
