"id","name","categ_id/id","type","purchase_ok","rental","sale_ok"
"100Min","100 Min","somconnexio.mobile_service","Service","False","False","True"
"200Min","200 Min","somconnexio.mobile_service","Consumable","False","False","True"
"300Min","300 Min","somconnexio.mobile_service","Service","False","False","True"
"ADSL","ADSL 20Mb","somconnexio.broadband_adsl_service","Service","False","False","True"
"Fibra","Fibra","somconnexio.broadband_fiber_service","Service","False","False","True"
"AltaParellExistent","Alta parell existent a terminis","somconnexio.broadband_oneshot_adsl_service","Consumable","False","False","True"
"DadesAddicionals","Dades addicionals","somconnexio.mobile_oneshot_service","Service","False","False","True"
"EnviamentSIM","Enviament SIM","somconnexio.mobile_oneshot_service","Service","False","False","True"
"EnviamentRouter","Enviament router","somconnexio.broadband_oneshot_service","Service","False","False","True"
"IPv4Fixa","IPv4 Fixa","somconnexio.broadband_additional_service","Service","False","False","True"
"Internacional","Internacional","somconnexio.mobile_additional_service","Service","False","False","True"
"RecollidaRouter","Recollida router","somconnexio.broadband_oneshot_service","Service","False","False","True"
"SMSMassius","SMS Massius","somconnexio.mobile_oneshot_service","Service","False","False","True"
"SenseMinuts","Sense Minuts","somconnexio.mobile_service","Service","False","False","True"
"TrucadesIllimitades","Trucades Il·limitades","somconnexio.mobile_service","Service","False","False","True"
